ent,mun,est,pea,ocupados,informales
7,23,1,47.096,98.85,100
7,23,2,2.301,4.768,7.001
7,23,3,43.311,91.008,88.484
7,23,4,50.882,98.949,100
7,23,5,4.887,4.823,7.001
7,24,1,51.255,100,100
7,24,2,3.084,5.707,10.052
7,24,3,46.182,90.613,83.466
7,24,4,56.328,100,100
7,24,5,6.017,5.707,10.052
7,25,1,54.189,98.52,91.524
7,25,2,2.901,5.076,10.479
7,25,3,49.417,90.171,74.288
7,25,4,58.961,98.86,92.397
7,25,5,5.354,5.152,11.449
7,26,1,51.984,99.773,100
7,26,2,3.005,5.517,10.64
7,26,3,47.042,90.699,82.5
7,26,4,56.926,99.83,100
7,26,5,5.78,5.53,10.64
7,27,1,58.342,96.705,55.614
7,27,2,2.015,3.444,3.37
7,27,3,55.028,91.04,50.071
7,27,4,61.656,96.839,61.157
7,27,5,3.453,3.561,6.059
7,28,1,58.613,97.761,87.706
7,28,2,2.904,4.685,9.739
7,28,3,53.836,90.054,71.686
7,28,4,63.389,98.194,88.787
7,28,5,4.955,4.793,11.104
7,29,1,59.356,98.192,84.231
7,29,2,2.92,4.659,9.558
7,29,3,54.553,90.529,68.51
7,29,4,64.158,98.609,99.953
7,29,5,4.919,4.745,11.347
7,30,1,55.26,98.324,93.578
7,30,2,2.899,4.971,10.321
7,30,3,50.492,90.148,76.601
7,30,4,60.029,98.496,93.924
7,30,5,5.246,5.055,11.029
7,31,1,53.534,99.247,75.893
7,31,2,3.018,5.367,5.873
7,31,3,48.571,90.418,66.233
7,31,4,58.498,99.312,85.553
7,31,5,5.637,5.408,7.738
7,32,1,55.562,97.757,79.204
7,32,2,2.715,4.62,7.874
7,32,3,51.096,90.157,66.253
7,32,4,60.029,97.972,92.156
7,32,5,4.887,4.726,9.941
7,33,1,53.862,98.387,100
7,33,2,2.909,5.12,10.571
7,33,3,49.078,89.965,82.612
7,33,4,58.646,98.756,100
7,33,5,5.4,5.204,10.571
7,34,1,51.435,96.363,91.878
7,34,2,0.685,0.362,5.044
7,34,3,50.309,95.767,83.582
7,34,4,52.561,96.958,92.152
7,34,5,1.331,0.376,5.49
7,35,1,54.276,98.255,75.585
7,35,2,2.934,5.123,10.284
7,35,3,49.45,89.828,58.669
7,35,4,59.103,98.526,92.5
7,35,5,5.406,5.214,13.606
7,36,1,54.315,98.355,100
7,36,2,2.884,5.031,10.329
7,36,3,49.57,90.079,83.01
7,36,4,59.059,98.72,100
7,36,5,5.31,5.116,10.329
7,37,1,56.231,97.865,71.072
7,37,2,2.936,4.941,9.906
7,37,3,51.402,89.737,54.777
7,37,4,61.06,98.054,87.366
7,37,5,5.221,5.049,13.938
7,38,1,50.397,99.05,99.602
7,38,2,2.919,5.506,11.295
7,38,3,45.596,89.994,81.024
7,38,4,55.198,99.221,99.708
7,38,5,5.792,5.559,11.34
7,39,1,53.862,98.596,98.305
7,39,2,2.914,5.133,10.63
7,39,3,49.069,90.153,80.82
7,39,4,58.654,98.782,98.511
7,39,5,5.41,5.206,10.813
7,40,1,60.312,96.7,62.199
7,40,2,2.504,4.187,5.986
7,40,3,56.194,89.812,52.353
7,40,4,64.43,96.889,72.045
7,40,5,4.151,4.33,9.624
7,41,1,52.929,99.143,92.67
7,41,2,2.396,4.395,6.526
7,41,3,48.988,91.915,81.935
7,41,4,56.87,99.252,93.001
7,41,5,4.527,4.433,7.042
7,42,1,54.161,98.592,96.824
7,42,2,2.905,5.087,10.498
7,42,3,49.383,90.224,79.557
7,42,4,58.939,98.873,97.262
7,42,5,5.363,5.16,10.842
7,43,1,55.715,98.295,81.827
7,43,2,2.921,4.967,10.077
7,43,3,50.911,90.125,65.253
7,43,4,60.52,98.599,98.402
7,43,5,5.242,5.053,12.314
7,44,1,56.305,97.835,89.699
7,44,2,2.915,4.9,10.142
7,44,3,51.51,89.775,73.017
7,44,4,61.1,98.053,90.191
7,44,5,5.178,5.008,11.306
7,45,1,55.46,97.587,87.455
7,45,2,2.909,4.96,10.256
7,45,3,50.675,89.429,70.585
7,45,4,60.245,98.058,88.598
7,45,5,5.246,5.082,11.728
7,46,1,57.695,99.327,78.611
7,46,2,1.42,2.435,5.574
7,46,3,55.36,95.323,69.443
7,46,4,60.03,99.423,87.779
7,46,5,2.461,2.451,7.09
7,47,1,55.704,99.235,92.01
7,47,2,2.968,5.07,10.181
7,47,3,50.822,90.896,75.265
7,47,4,60.585,99.381,92.513
7,47,5,5.328,5.109,11.065
7,48,1,55.889,98.045,73.831
7,48,2,2.925,4.955,9.994
7,48,3,51.078,89.894,57.393
7,48,4,60.701,98.276,90.268
7,48,5,5.234,5.054,13.536
7,49,1,53.317,99.615,99.885
7,49,2,2.984,5.337,10.686
